127.0.0.1 - - [04/Nov/2022:19:19:49 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:23:44 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:24:12 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 3946
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:24:13 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 3946
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:26:19 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 2511
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:26:20 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 3504
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:26:22 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 3504
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:26:57 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:26:57 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:30:59 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 4044
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:31:25 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 4044
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:31:26 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 4044
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:31:38 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 4044
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:31:38 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:32:05 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 4036
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:32:17 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 4036
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:34:39 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:34:52 -0400] "POST /jstlDemo/empForm.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:39:56 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 2614
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:40:16 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:47:20 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 2528
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:48:52 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 3615
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:49:44 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 3615
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:50:28 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 200 512
